circuit,mode,budget,coverage,gain_pp,area_pct,delay_pct,pp_per_area_pct
c1355,cp,8,98.352,0.236,5.24017,10.8696,0.045
c1355,op,4,98.13,0.014,0.655022,0.0,0.0214
c1355,mixed,4,98.13,0.014,0.655022,0.0,0.0214
c1355,op,32,98.224,0.108,5.24017,0.0,0.0206
c1355,mixed,32,98.224,0.108,5.24017,0.0,0.0206
c1355,op,64,98.314,0.198,10.4803,0.0,0.0189
c1355,mixed,64,98.314,0.198,10.4803,0.0,0.0189
c1355,op,8,98.14,0.024,1.31004,0.0,0.0183
c1355,mixed,8,98.14,0.024,1.31004,0.0,0.0183
c1355,op,16,98.162,0.046,2.62009,0.0,0.0176
c1355,mixed,16,98.162,0.046,2.62009,0.0,0.0176
c1355,cp,32,98.456,0.34,20.9607,15.2174,0.0162
c1355,cp,64,98.216,0.1,41.9214,15.2174,0.0024
c1355,cp,16,98.136,0.02,10.4803,10.8696,0.0019
c1355,cp,4,98.068,-0.048,2.62009,10.8696,-0.0183
c1908,op,8,94.624,0.064,0.789733,0.0,0.081
c1908,mixed,8,94.624,0.064,0.789733,0.0,0.081
c1908,op,4,94.59,0.03,0.394867,0.0,0.076
c1908,mixed,4,94.59,0.03,0.394867,0.0,0.076
c1908,op,16,94.676,0.116,1.57947,0.0,0.0734
c1908,mixed,16,94.676,0.116,1.57947,0.0,0.0734
c1908,op,32,94.782,0.222,3.15893,0.0,0.0703
c1908,mixed,32,94.782,0.222,3.15893,0.0,0.0703
c1908,op,64,94.97,0.41,6.31787,0.0,0.0649
c1908,mixed,64,94.63,0.07,7.20632,3.05344,0.0097
c1908,cp,16,94.586,0.026,6.31787,6.48855,0.0041
c1908,cp,32,93.848,-0.712,12.6357,11.4504,-0.0563
c1908,cp,8,94.172,-0.388,3.15893,4.19847,-0.1228
c1908,cp,64,90.454,-4.106,25.2715,29.3893,-0.1625
c1908,cp,4,94.302,-0.258,1.57947,1.14504,-0.1633
c432,cp,4,99.868,1.512,6.92641,7.72947,0.2183
c432,op,4,98.622,0.266,1.7316,0.0,0.1536
c432,mixed,4,98.622,0.266,1.7316,0.0,0.1536
c432,op,8,98.878,0.522,3.4632,0.0,0.1507
c432,mixed,8,98.878,0.522,3.4632,0.0,0.1507
c432,cp,8,99.85,1.494,13.8528,7.72947,0.1078
c432,op,16,98.93,0.574,6.92641,0.0,0.0829
c432,mixed,16,98.93,0.574,6.92641,0.0,0.0829
c432,op,32,99.046,0.69,13.8528,0.0,0.0498
c432,mixed,32,99.046,0.69,13.8528,0.0,0.0498
c432,op,64,99.346,0.99,27.7056,0.0,0.0357
c432,cp,16,99.32,0.964,27.7056,12.0773,0.0348
c432,mixed,64,99.54,1.184,39.3939,0.0,0.0301
c432,cp,32,99.324,0.968,55.4113,20.2899,0.0175
c432,cp,64,98.574,0.218,110.823,30.9179,0.002
c880,op,4,97.836,0.336,0.857143,0.0,0.392
c880,op,8,98.086,0.586,1.71429,0.0,0.3418
c880,op,16,98.534,1.034,3.42857,0.0,0.3016
c880,op,32,98.876,1.376,6.85714,0.0,0.2007
c880,op,64,99.052,1.552,13.7143,0.0,0.1132
c880,mixed,32,99.256,1.756,21.6429,4.2328,0.0811
c880,cp,16,98.53,1.03,13.7143,0.0,0.0751
c880,cp,8,97.978,0.478,6.85714,0.0,0.0697
c880,mixed,16,98.404,0.904,13.0714,0.0,0.0692
c880,mixed,64,99.35,1.85,31.7143,4.2328,0.0583
c880,cp,32,98.942,1.442,27.4286,16.9312,0.0526
c880,cp,64,99.392,1.892,54.8571,21.6931,0.0345
c880,mixed,8,97.134,-0.366,6.21429,0.0,-0.0589
c880,cp,4,96.966,-0.534,3.42857,0.0,-0.1558
c880,mixed,4,96.966,-0.534,3.42857,0.0,-0.1558
