circuit,mode,metric,budget,coverage_mean,coverage_std,coverage_min,coverage_max,total_faults,detected_faults,seeds,patterns,control_points,observe_points,added_pis,added_pos,area_pct,delay_pct,wirelength_proxy,ppa_source
c432,mixed,cop,0,98.356,0.594,97.57,98.84,864,843,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c432,mixed,cop,4,98.622,0.586,97.85,99.1,884,865,5,1000,0,4,0,4,1.7316,0.0,5.93103,analytical
c432,mixed,cop,8,98.878,0.567,98.13,99.34,908,891,5,1000,0,8,0,8,3.4632,0.0,10.9655,analytical
c432,mixed,cop,16,98.93,0.54,98.22,99.37,954,937,5,1000,0,16,0,16,6.92641,0.0,21.3103,analytical
c432,mixed,cop,32,99.628,0.294,99.07,99.91,1072,1068,5,1000,6,26,18,26,21.645,0.0,45.1379,analytical
c432,mixed,cop,64,99.572,0.126,99.45,99.76,1262,1259,5,1000,9,55,27,55,39.3939,0.0,101.828,analytical
c432,op,cop,0,98.356,0.594,97.57,98.84,864,843,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c432,op,cop,4,98.622,0.586,97.85,99.1,884,865,5,1000,0,4,0,4,1.7316,0.0,5.93103,analytical
c432,op,cop,8,98.878,0.567,98.13,99.34,908,891,5,1000,0,8,0,8,3.4632,0.0,10.9655,analytical
c432,op,cop,16,98.93,0.54,98.22,99.37,954,937,5,1000,0,16,0,16,6.92641,0.0,21.3103,analytical
c432,op,cop,32,99.028,0.493,98.38,99.43,1048,1031,5,1000,0,32,0,32,13.8528,0.0,45.1379,analytical
c432,op,cop,64,99.346,0.397,98.86,99.67,1226,1212,5,1000,0,64,0,64,27.7056,0.0,101.828,analytical
c432,cp,cop,0,98.356,0.594,97.57,98.84,864,843,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c432,cp,cop,4,99.868,0.044,99.78,99.89,904,903,5,1000,4,0,12,0,6.92641,7.72947,5.93103,analytical
c432,cp,cop,8,99.85,0.049,99.79,99.89,944,943,5,1000,8,0,24,0,13.8528,7.72947,10.9655,analytical
c432,cp,cop,16,99.32,0.0,99.32,99.32,1024,1017,5,1000,16,0,48,0,27.7056,12.0773,21.3103,analytical
c432,cp,cop,32,99.374,0.044,99.32,99.41,1184,1177,5,1000,32,0,96,0,55.4113,20.2899,45.1379,analytical
c432,cp,cop,64,97.928,0.079,97.81,98.01,1504,1474,5,1000,64,0,192,0,110.823,35.2657,101.828,analytical
c880,mixed,cop,0,97.5,0.594,96.48,98.3,1760,1715,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c880,mixed,cop,4,96.966,0.838,96.0,98.33,1800,1755,5,1000,4,0,12,0,3.42857,0.0,6.94118,analytical
c880,mixed,cop,8,97.134,0.645,96.35,98.2,1836,1790,5,1000,7,1,21,1,6.21429,0.0,14.0882,analytical
c880,mixed,cop,16,98.788,0.315,98.28,99.16,1916,1889,5,1000,15,1,45,1,13.0714,0.0,28.1471,analytical
c880,mixed,cop,32,99.63,0.051,99.56,99.71,2040,2031,5,1000,23,9,69,9,21.6429,4.2328,56.8529,analytical
c880,mixed,cop,64,99.688,0.095,99.6,99.87,2252,2243,5,1000,29,35,87,35,32.3571,4.2328,110.853,analytical
c880,op,cop,0,97.5,0.594,96.48,98.3,1760,1715,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c880,op,cop,4,97.836,0.473,97.42,98.71,1784,1744,5,1000,0,4,0,4,0.857143,0.0,6.94118,analytical
c880,op,cop,8,98.086,0.4,97.68,98.78,1808,1772,5,1000,0,8,0,8,1.71429,0.0,14.0882,analytical
c880,op,cop,16,98.534,0.325,98.06,99.03,1854,1826,5,1000,0,16,0,16,3.42857,0.0,28.1471,analytical
c880,op,cop,32,98.876,0.331,98.4,99.38,1942,1919,5,1000,0,32,0,32,6.85714,0.0,56.8529,analytical
c880,op,cop,64,99.052,0.289,98.64,99.48,2130,2108,5,1000,0,64,0,64,13.7143,0.0,110.853,analytical
c880,cp,cop,0,97.5,0.594,96.48,98.3,1760,1715,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c880,cp,cop,4,96.966,0.838,96.0,98.33,1800,1755,5,1000,4,0,12,0,3.42857,0.0,6.94118,analytical
c880,cp,cop,8,97.978,0.42,97.5,98.53,1840,1804,5,1000,8,0,24,0,6.85714,0.0,14.0882,analytical
